iter	Passed	Remaining
420	2331	53045
421	2336	53038
422	2342	53028
423	2348	53031
424	2353	53020
425	2358	52997
426	2363	52987
427	2368	52979
428	2374	52976
429	2379	52966
430	2385	52956
431	2390	52945
432	2395	52930
433	2401	52927
434	2406	52915
435	2411	52904
436	2417	52891
437	2422	52886
438	2427	52872
439	2432	52848
440	2437	52836
441	2443	52831
442	2448	52819
443	2453	52810
444	2459	52811
445	2465	52809
446	2471	52809
447	2476	52803
448	2481	52790
449	2486	52774
450	2491	52762
451	2497	52752
452	2503	52751
453	2508	52749
454	2514	52743
455	2519	52735
456	2525	52731
457	2530	52721
458	2535	52707
459	2541	52703
460	2546	52698
461	2552	52696
462	2558	52694
463	2563	52688
464	2569	52684
465	2575	52682
466	2580	52670
467	2585	52657
468	2590	52642
469	2595	52633
470	2601	52630
471	2606	52623
472	2612	52618
473	2617	52611
474	2623	52603
475	2628	52598
476	2634	52594
477	2637	52544
478	2643	52547
479	2650	52558
480	2655	52557
481	2661	52547
482	2666	52539
483	2672	52536
484	2677	52525
485	2682	52519
486	2688	52511
487	2693	52503
488	2699	52495
489	2704	52482
490	2709	52475
491	2715	52469
492	2720	52467
493	2726	52459
494	2731	52448
495	2736	52438
496	2745	52501
497	2751	52496
498	2756	52489
499	2762	52486
500	2768	52486
501	2774	52489
502	2780	52502
503	2786	52503
504	2792	52500
505	2799	52521
506	2805	52522
507	2810	52519
508	2816	52511
509	2821	52505
510	2827	52505
511	2833	52506
512	2838	52500
513	2844	52491
514	2849	52481
515	2855	52479
516	2860	52468
517	2866	52462
518	2871	52455
519	2877	52450
520	2882	52447
521	2888	52452
522	2894	52446
523	2899	52441
524	2905	52431
525	2911	52433
526	2916	52426
527	2922	52424
528	2928	52422
529	2933	52418
530	2939	52415
531	2944	52409
532	2950	52404
533	2955	52399
534	2961	52398
535	2967	52398
536	2973	52393
537	2979	52395
538	2984	52393
539	2990	52389
540	2995	52380
541	3001	52371
542	3007	52379
543	3012	52370
544	3018	52363
545	3023	52356
546	3029	52354
547	3035	52349
548	3040	52346
549	3046	52341
550	3051	52335
551	3057	52327
552	3063	52328
553	3068	52324
554	3074	52317
555	3079	52312
556	3085	52305
557	3090	52301
558	3096	52292
559	3102	52290
560	3107	52281
561	3112	52274
562	3118	52267
563	3123	52263
564	3128	52251
565	3134	52238
566	3139	52230
567	3145	52224
568	3150	52218
569	3155	52209
570	3160	52195
571	3166	52186
572	3171	52181
573	3177	52174
574	3182	52173
575	3188	52162
576	3193	52155
577	3199	52147
578	3204	52147
579	3210	52138
580	3215	52135
581	3218	52077
582	3224	52086
583	3230	52093
584	3236	52086
585	3241	52078
586	3247	52071
587	3252	52060
588	3257	52053
589	3263	52049
590	3269	52045
591	3274	52039
592	3280	52036
593	3286	52040
594	3291	52031
595	3297	52029
596	3303	52026
597	3308	52016
598	3313	52003
599	3319	52003
600	3324	51997
601	3330	51993
602	3336	52002
603	3342	52004
604	3348	51993
605	3355	52010
606	3360	52009
607	3366	52000
608	3372	51997
609	3377	51991
610	3382	51982
611	3388	51976
612	3393	51967
613	3399	51959
614	3404	51948
615	3409	51946
616	3415	51942
617	3421	51936
618	3426	51926
619	3431	51919
620	3437	51911
621	3442	51905
622	3448	51897
623	3453	51894
624	3459	51895
625	3465	51895
626	3471	51896
627	3477	51893
628	3483	51891
629	3488	51885
630	3493	51877
631	3499	51867
632	3505	51866
633	3511	51869
