iter	RMSE
0	16.09482514
1	15.93989153
2	15.78597754
3	15.6358929
4	15.48761657
5	15.33929776
6	15.19332363
7	15.04863424
8	14.90473646
9	14.76186498
10	14.62014193
11	14.4808633
12	14.34214064
13	14.20635496
14	14.07162208
15	13.93693117
16	13.80334616
17	13.67252296
18	13.54331576
19	13.41493448
20	13.28758078
21	13.16130105
22	13.03761552
23	12.91329655
24	12.79126413
25	12.67007174
26	12.55055993
27	12.4317759
28	12.31462749
29	12.19860329
30	12.08299722
31	11.96948437
32	11.85606426
33	11.74554592
34	11.63563066
35	11.52631104
36	11.41752903
37	11.3101407
38	11.20409798
39	11.09901496
40	10.99479
41	10.89237498
42	10.79052509
43	10.690248
44	10.58992728
45	10.49063717
46	10.39303344
47	10.29667551
48	10.20048377
49	10.10628431
50	10.01287675
51	9.919192999
52	9.827298325
53	9.73644442
54	9.646621257
55	9.558282952
56	9.469616528
57	9.381864016
58	9.295613037
59	9.211140009
60	9.126180624
61	9.043888839
62	8.961163672
63	8.87953329
64	8.798433121
65	8.717833892
66	8.638207869
67	8.55917394
68	8.481713648
69	8.405738268
70	8.329468379
71	8.254052313
72	8.17959727
73	8.106197681
74	8.032948529
75	7.960749057
76	7.889755317
77	7.819154568
78	7.749774372
79	7.680424293
80	7.611892607
81	7.545334522
82	7.477944
83	7.412462919
84	7.346849781
85	7.282130807
86	7.218412725
87	7.155166758
88	7.092428726
89	7.031208974
90	6.969716113
91	6.909137941
92	6.849702965
93	6.790336654
94	6.731472873
95	6.673991309
96	6.617397066
97	6.56043705
98	6.503689158
99	6.447640121
100	6.392496986
101	6.338363156
102	6.285377633
103	6.231473589
104	6.179299232
105	6.127268221
106	6.075243644
107	6.024735412
108	5.974666371
109	5.925076853
110	5.875625028
111	5.827502974
112	5.779554657
113	5.731582302
114	5.684157528
115	5.637462489
116	5.591299929
117	5.545519579
118	5.500664444
119	5.456278698
120	5.411921472
121	5.368183527
122	5.32480181
123	5.282531371
124	5.240208077
125	5.198564024
126	5.157416708
127	5.116464943
128	5.076011867
129	5.036931252
130	4.997757454
131	4.959477874
132	4.921164473
133	4.882796252
134	4.846323528
135	4.809073949
136	4.77193076
137	4.735768054
138	4.700652912
139	4.66473768
140	4.629340137
141	4.59327443
142	4.559811013
143	4.526002995
144	4.49237847
145	4.459248392
146	4.426862324
147	4.394780171
148	4.363189438
149	4.331717502
150	4.30072232
151	4.27039215
152	4.240550549
153	4.210403619
154	4.180439014
155	4.151652186
156	4.122728434
157	4.094745499
158	4.066229344
159	4.038440482
160	4.010955435
161	3.983457165
162	3.956899507
163	3.931078617
164	3.905731061
165	3.880053144
166	3.854774779
167	3.829124262
168	3.804582984
169	3.780983914
170	3.756887849
171	3.733355074
172	3.70809981
173	3.684923741
174	3.6619643
175	3.639407792
176	3.617038091
177	3.596123195
178	3.574828254
179	3.553736032
180	3.532559714
181	3.511637819
182	3.490712829
183	3.470364584
184	3.450643901
185	3.430855402
186	3.41124293
187	3.392178428
188	3.37333942
189	3.354548738
190	3.336358274
191	3.317778891
192	3.299733255
193	3.282257945
194	3.265167652
195	3.247372528
196	3.230382127
197	3.212929457
198	3.196445091
199	3.180260098
200	3.163955693
201	3.147854354
202	3.132378789
203	3.117228791
204	3.102095147
205	3.086931837
206	3.072333606
207	3.057965572
208	3.042753439
209	3.028458793
210	3.01470067
211	3.001163469
212	2.987258073
213	2.974039528
214	2.961018646
215	2.947967862
216	2.935118322
217	2.922295719
218	2.910327096
219	2.898185978
220	2.886057193
221	2.874809796
222	2.86343938
223	2.851197135
224	2.839036821
225	2.827833603
226	2.816513929
227	2.805613963
228	2.795330782
229	2.782678649
230	2.772584939
231	2.762465184
232	2.752107039
233	2.740897784
234	2.730536007
235	2.720873096
236	2.711466251
237	2.702009777
238	2.691011586
239	2.68200495
240	2.672987663
241	2.664297893
242	2.655965996
243	2.647861106
244	2.637481648
245	2.628816183
246	2.620669143
247	2.611709415
248	2.604247072
249	2.596829586
250	2.587745279
251	2.580232535
252	2.572946824
253	2.56581656
254	2.558961892
255	2.552049988
256	2.545086352
257	2.538096369
258	2.53131175
259	2.524549794
260	2.518307864
261	2.51183013
262	2.505879758
263	2.499948786
264	2.493351079
265	2.487239641
266	2.479428484
267	2.472879601
268	2.467079033
269	2.459334592
270	2.452814074
271	2.447618867
272	2.442538153
273	2.437326766
274	2.431472115
275	2.426363685
276	2.421128924
277	2.415951723
278	2.410979607
279	2.405882311
280	2.401117438
281	2.396156066
282	2.391441029
283	2.386545592
284	2.38117462
285	2.376796179
286	2.372665
287	2.368546671
288	2.364374414
289	2.360329852
290	2.35628609
291	2.352397639
292	2.348299444
293	2.341844922
294	2.338129763
295	2.334534404
296	2.331082099
297	2.327387514
298	2.323947249
299	2.320492682
300	2.317015613
301	2.310750868
302	2.30699481
303	2.303062635
304	2.299641176
305	2.29633541
306	2.293167244
307	2.290050223
308	2.284565016
309	2.28112835
310	2.277443678
311	2.274140512
312	2.271264841
313	2.268219521
314	2.265649658
315	2.262196941
316	2.259805037
317	2.257076207
318	2.254560905
319	2.249887464
320	2.247608377
321	2.244751618
322	2.24232076
323	2.239220283
324	2.237153632
325	2.234633272
326	2.231724768
327	2.229160851
328	2.22676288
329	2.224357315
330	2.222288823
331	2.219820233
332	2.217793163
333	2.215521727
334	2.212962815
335	2.210873801
336	2.208125935
337	2.203814676
338	2.201186258
339	2.198785063
340	2.197162399
341	2.195266409
342	2.192915055
343	2.191400277
344	2.189779037
345	2.187438253
346	2.184367143
347	2.182209568
348	2.180793306
349	2.17935587
350	2.177846852
351	2.176397896
352	2.17483178
353	2.173516198
354	2.172213171
355	2.170899836
356	2.168722963
357	2.166528339
358	2.162826012
359	2.161007275
360	2.15984235
361	2.158054282
362	2.156738089
363	2.155503325
364	2.153995393
365	2.152358756
366	2.151156344
367	2.149426129
368	2.145868897
369	2.144636094
370	2.142944174
371	2.141169962
372	2.140109142
373	2.138517503
374	2.136207759
375	2.134618544
376	2.133508263
377	2.132106111
378	2.131199557
379	2.130321116
380	2.129523387
381	2.127921859
382	2.126162087
383	2.124676896
384	2.121384034
385	2.120178142
386	2.117311029
387	2.116549604
388	2.115295048
389	2.112368333
390	2.111645866
391	2.110099368
392	2.108696342
393	2.107842559
394	2.104592173
395	2.103077151
396	2.101838651
397	2.100924878
398	2.099987643
399	2.099262111
400	2.09773742
401	2.094551828
402	2.09374759
403	2.092452733
404	2.091835336
405	2.088772542
406	2.08634739
407	2.084783947
408	2.084087186
409	2.083113394
410	2.081969201
411	2.081133702
412	2.080086736
413	2.079061602
414	2.078395978
415	2.07612141
416	2.075515975
417	2.074950326
418	2.073460769
419	2.072999797
420	2.072393317
421	2.07152365
422	2.068665245
423	2.06742378
424	2.066625023
425	2.066230132
426	2.065767626
427	2.064868449
428	2.06412916
429	2.063319188
430	2.06276117
431	2.062021831
432	2.061598979
433	2.059963353
434	2.059507949
435	2.056667555
436	2.056173494
437	2.053963477
438	2.053541041
439	2.052976562
440	2.052297639
441	2.051153333
442	2.0500497
443	2.049603846
444	2.048925829
445	2.048114132
446	2.046472182
447	2.044967047
448	2.044575766
449	2.04428441
450	2.043959588
451	2.043147716
452	2.042634678
453	2.042136398
454	2.041681329
455	2.041073161
456	2.040148574
457	2.039581421
458	2.03852719
459	2.037164159
460	2.036424698
461	2.035787803
462	2.034910318
463	2.034605598
464	2.034263252
465	2.033581869
466	2.033138406
467	2.032790243
468	2.032518892
469	2.032064506
470	2.029764204
471	2.027433081
472	2.02675323
473	2.026065807
474	2.02523772
475	2.024833966
476	2.024557597
477	2.024352184
478	2.023697474
479	2.022243461
480	2.021955009
481	2.021673302
482	2.021216945
483	2.020710142
484	2.020357703
485	2.019848435
486	2.019432173
487	2.019102474
488	2.018430207
489	2.017160899
490	2.016540472
491	2.01609473
492	2.015676266
493	2.015283305
494	2.014346601
495	2.012198422
496	2.011818698
497	2.010007926
498	2.009427281
499	2.008757011
500	2.006801578
501	2.005622314
502	2.005384518
503	2.005181262
504	2.002713588
505	2.002042888
506	2.001039381
507	2.000512883
508	2.000042036
509	1.99930359
510	1.996759035
511	1.996372553
512	1.996114373
513	1.995587329
514	1.994929056
515	1.993665775
516	1.992965722
517	1.992847645
518	1.992002225
519	1.991651015
520	1.990553545
521	1.989908735
522	1.989336847
523	1.98897063
524	1.98816709
525	1.987495359
526	1.987180184
527	1.986626939
528	1.986456146
529	1.986126651
530	1.985568449
531	1.985155205
532	1.984992183
533	1.984127117
534	1.983711595
535	1.983199614
536	1.982842953
537	1.982477325
538	1.982106736
539	1.981371196
540	1.979165213
541	1.978804464
542	1.978069872
543	1.977761762
544	1.977102998
545	1.976414749
546	1.975966124
547	1.975673154
548	1.973732382
549	1.972657328
550	1.972099357
551	1.971999981
552	1.969942963
553	1.96793015
554	1.967067095
555	1.96691439
556	1.966490808
557	1.965839734
558	1.965324663
559	1.964453551
560	1.96399685
561	1.962032442
562	1.961613646
563	1.961273276
564	1.960665651
565	1.960511399
566	1.960379984
567	1.959586445
568	1.95845377
569	1.956381242
570	1.956229777
571	1.955902984
572	1.95567914
573	1.954851079
574	1.954499249
575	1.954451494
